bureau_record_id,customer_id,credit_score,enquiries_last_6m,credit_utilization_ratio,total_outstanding_loans,total_outstanding_amount,created_at
448,100447,360,7,0.41,2,86400,2025-07-28 14:55:41
449,100448,551,5,0.4,4,193416,2026-01-03 14:55:41
450,100449,447,12,-0.5,5,514545,2025-11-23 14:55:41
451,100450,529,0,0.44,0,0,2025-10-26 14:55:41
452,100451,868,4,0.78,3,420897,2025-09-13 14:55:41
453,100452,376,3,0.83,1,70289,2025-07-29 14:55:41
454,100453,331,5,0.58,0,0,2025-09-12 14:55:41
455,100454,856,3,0.5,2,"₹20,676",2025-12-06 14:55:41
456,100455,638,12,0.96,0,0,2025-11-16 14:55:41
457,100456,415,7,0.35,4,173664,2025-12-09 14:55:41
458,100457,307,8,0.38,5,301775,2025-12-27 14:55:41
459,100458,407,11,0.0,5,475190,2025-07-08 14:55:41
460,100459,700,7,0.8,4,62228,2025-10-20 14:55:41
461,100460,791,12,0.82,1,16354,2025-11-17 14:55:41
462,100461,476,2,0.18,2,"₹131,598",2025-10-24 14:55:41
463,100462,861,0,0.52,5,124945,2025-12-06 14:55:41
464,100463,364,1,0.36,2,267480,2025-09-22 14:55:41
465,100464,827,4,0.9,5,560835,2025-07-22 14:55:41
466,100465,644,9,0.37,3,86877,2025-12-02 14:55:41
467,100466,408,1,0.47,2,79406,2025-11-10 14:55:41
468,100467,304,8,0.16,0,0,2025-09-15 14:55:41
469,100468,722,12,0.7,2,114644,2025-12-28 14:55:41
470,100469,725,1,0.31,5,511000,2025-11-13 14:55:41
471,100470,671,5,0.51,4,351104,2025-10-16 14:55:41
472,100471,587,0,0.64,2,15460,2025-12-05 14:55:41
473,100472,499,6,0.45,2,127342,2025-07-18 14:55:41
474,100473,624,6,0.52,2,"14,154",2026-01-10 14:55:41
475,100474,772,9,0.68,1,147021,2025-09-10 14:55:41
476,100475,824,0,0.42,5,426170,2025-11-06 14:55:41
477,100476,455,11,0.95,5,"281,900",2025-12-31 14:55:41
478,100477,698,3,0.55,4,447808,2025-09-16 14:55:41
479,100478,582,1,0.68,0,--,2025-08-17 14:55:41
480,100479,50,12,0.4,3,58446,2025-07-22 14:55:41
481,100480,560,12,0.81,2,"₹168,590",2025-12-29 14:55:41
482,100481,,9,0.95,0,--,2025-08-10 14:55:41
483,100482,646,8,,2,155232,2025-07-07 14:55:41
484,100483,710,9,0.15,0,0,2025-07-13 14:55:41
485,100484,796,11,0.66,5,312480,2025-11-10 14:55:41
486,100485,549,9,0.91,2,30024,2025-07-29 14:55:41
487,100486,462,3,0.02,2,22332,2025-09-16 14:55:41
488,100487,592,10,0.12,3,437523,2025-07-28 14:55:41
489,100488,333,9,0.36,5,"₹694,700",2026-01-17 14:55:41
490,100489,439,0,0.7,2,"252,568",2025-11-13 14:55:41
491,100490,488,0,0.9,5,737230,2025-10-24 14:55:41
492,100491,378,7,1.5,3,393273,2025-07-20 14:55:41
493,100492,425,7,0.47,1,109304,2025-08-06 14:55:41
494,100493,372,5,0.5,3,448803,2025-12-30 14:55:41
495,100494,664,10,0.46,4,479824,2025-10-27 14:55:41
496,100495,607,1,0.42,3,"88,680",2025-11-05 14:55:41
497,100496,,5,0.3,4,451544,2025-09-29 14:55:41
498,100497,756,6,,3,152409,2025-10-07 14:55:41
499,100498,312,12,0.59,3,228015,2025-08-26 14:55:41
500,100499,792,8,0.09,0,0,2025-08-07 14:55:41
